Property_URL,Scrape_Super_ID
https://www.rightmove.co.uk/properties/162963161,8678e202-a4eb-4296-9972-b6299b3b9dd2
https://www.rightmove.co.uk/properties/163221458,c07d95f6-bc66-4503-a834-1bc1c70a09be
https://www.rightmove.co.uk/properties/163569437,3133fdac-4450-43af-a9c1-70a11cd6cb3e
https://www.rightmove.co.uk/properties/163590095,f9756377-0f88-4687-8fee-25060c7607d0
https://www.rightmove.co.uk/properties/163741967,eb07eedd-14e5-4f0c-a815-6c2a2d8096fc
https://www.rightmove.co.uk/properties/163790570,88c44b5e-e249-45e8-9589-7714c5e871bc
https://www.rightmove.co.uk/properties/163802645,27b273dd-c4f1-471d-aea9-2a7ca5c0ac34
https://www.rightmove.co.uk/properties/163841333,db57ccb5-b689-4a32-8815-5687d5d740bd
https://www.rightmove.co.uk/properties/163852919,cac2035a-3328-4582-9659-469287561831
https://www.rightmove.co.uk/properties/164568527,f8d35d81-959a-47ed-84ff-b0312b15ecb5
https://www.rightmove.co.uk/properties/164653472,18d47819-660a-4977-8308-fe4aed9c412f
https://www.rightmove.co.uk/properties/164775734,64f42d80-e8f6-4652-ae56-a46aee653598
https://www.rightmove.co.uk/properties/164801804,d72403db-7dc8-4d3c-8751-991fc309c0f1
https://www.rightmove.co.uk/properties/164814956,f931fc86-be0f-459c-a85a-b7d0dbc801bf
https://www.rightmove.co.uk/properties/164834255,913ab0ed-9456-4fa6-a5d3-100d2d16812f
https://www.rightmove.co.uk/properties/87063858,b86f4e78-61aa-4022-b4b2-53d4c31bc42f
https://www.rightmove.co.uk/properties/87226146,d58e6e6c-4979-4152-b73b-7a251a2462ce
